Chromosome: TcChr35-S
Organism: Trypanosoma cruzi CL Brener Esmeraldo-like
Origins: 
593473 
Length: 1186946 bases
Replication Speed: 67 b/s
Transcription Regions: 
(337652, 1460) (349421, 561759) (562682, 562170) (563114, 649205) (660379, 649701) (662969, 894861) (1112303, 897996) (1114050, 1185502) 

Origin at position 593473 activated at 4
Head collision with transcription machinery around base 572544
Tail collision with transcription machinery around base 665047
Tail collision with transcription machinery around base 719425
Head collision with transcription machinery around base 428146
Head collision with transcription machinery around base 951798
Head collision with transcription machinery around base 410632
Head collision with transcription machinery around base 965581
Head collision with transcription machinery around base 967150
Head collision with transcription machinery around base 970515
Head collision with transcription machinery around base 392596
Head collision with transcription machinery around base 388759
Head collision with transcription machinery around base 369606
Head collision with transcription machinery around base 971390
Head collision with transcription machinery around base 367081
Head collision with transcription machinery around base 980551
Head collision with transcription machinery around base 999713
Head collision with transcription machinery around base 351132
Tail collision with transcription machinery around base 284132
Tail collision with transcription machinery around base 229753
Tail collision with transcription machinery around base 175374
Tail collision with transcription machinery around base 120996
Tail collision with transcription machinery around base 66617
Tail collision with transcription machinery around base 12238
Head collision with transcription machinery around base 1010405
Head collision with transcription machinery around base 1010873
Head collision with transcription machinery around base 1021938
Head collision with transcription machinery around base 1039223
Head collision with transcription machinery around base 1054743
Head collision with transcription machinery around base 1069676
Head collision with transcription machinery around base 1072284
Head collision with transcription machinery around base 1091140
Head collision with transcription machinery around base 1111041
Tail collision with transcription machinery around base 1157776
Duration: 209101

