[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	4900	5	2	0	2000	
2	4904	7	3	0	1800	
3	4902	7	1	0	1600	
4	4899	7	2	0	1400	
5	4902	9	3	0	1200	
6	4902	9	3	0	1000	
7	4895	13	3	0	800	
8	4895	15	5	0	600	
9	4900	24	8	0	400	
10	4905	45	16	0	200	
11	25058	11	0	2880	2000	
12	27944	12	0	2880	1800	
13	68264	30	1	2880	1600	
14	19310	8	2	2880	1400	
15	30819	13	2	2880	1200	
16	160440	77	4	2880	1000	
17	68262	33	4	2880	800	
18	157559	79	6	2880	600	
19	71161	33	9	2880	400	
20	166232	82	16	2880	200	
21	143152	35	1	5760	2000	
22	27936	6	0	5760	1800	
23	68259	15	1	5760	1600	
24	45216	11	3	5760	1400	
25	177704	41	2	5760	1200	
26	160428	39	4	5760	1000	
27	74026	18	4	5760	800	
28	171966	42	5	5760	600	
29	171955	43	9	5760	400	
30	621318	155	15	5760	200	
31	48094	7	1	8640	2000	
32	134497	23	0	8640	1800	
33	74017	11	1	8640	1600	
34	74015	12	3	8640	1400	
35	74048	11	2	8640	1200	
36	160424	26	4	8640	1000	
37	350502	58	6	8640	800	
38	186338	30	6	8640	600	
39	350539	59	8	8640	400	
40	20931229	3541	18	8640	200	
41	143154	18	1	11520	2000	
42	85537	11	0	11520	1800	
43	74022	8	2	11520	1600	
44	97059	12	2	11520	1400	
45	154669	19	2	11520	1200	
46	166178	20	3	11520	1000	
47	166196	21	3	11520	800	
48	166225	21	5	11520	600	
49	776769	95	8	11520	400	
50	627005	78	17	11520	200	
51	62506	7	1	14400	2000	
52	10747866	1100	4	14400	1800	
53	11280340	1078	4	14400	1600	
54	105695	10	1	14400	1400	
55	7507542	750	4	14400	1200	
56	163305	18	3	14400	1000	
57	5678774	570	6	14400	800	
58	4123537	425	6	14400	600	
59	2769798	278	9	14400	400	
60	1502554	150	16	14400	200	
61	143142	12	0	17280	2000	
62	143145	12	0	17280	1800	
63	367794	29	1	17280	1600	
64	125858	10	0	17280	1400	
65	177703	14	1	17280	1200	
66	160437	13	4	17280	1000	
67	350506	29	4	17280	800	
68	782519	67	4	17280	600	
69	350506	31	8	17280	400	
70	20931230	1772	17	17280	200	
71	85542	7	3	20160	2000	
72	85551	6	0	20160	1800	
73	226665	15	1	20160	1600	
74	166179	11	2	20160	1400	
75	488758	36	0	20160	1200	
76	166179	12	3	20160	1000	
77	246821	17	4	20160	800	
78	508934	37	4	20160	600	
79	508902	36	8	20160	400	
80	1073414	79	18	20160	200	
81	189221	11	0	23040	2000	
82	465719	27	1	23040	1800	
83	166180	10	1	23040	1600	
84	212261	14	4	23040	1400	
85	189234	11	2	23040	1200	
86	189249	11	4	23040	1000	
87	857405	54	5	23040	800	
88	465728	29	4	23040	600	
89	788281	48	9	23040	400	
90	2239830	141	16	23040	200	
91	1586035	89	2	25920	2000	
92	186340	11	0	25920	1800	
93	160441	8	2	25920	1600	
94	264098	14	1	25920	1400	
95	393707	21	2	25920	1200	
96	1637876	90	5	25920	1000	
97	367788	22	3	25920	800	
98	393703	22	6	25920	600	
99	1300909	71	9	25920	400	
100	20948511	1182	17	25920	200	
