Chromosome: TcChr39-S
Organism: Trypanosoma cruzi CL Brener Esmeraldo-like
Origins: 
927052 
Length: 1854104 bases
Replication Speed: 67 b/s
Transcription Regions: 
(151371, 33744) (152674, 380494) (480685, 388628) (486192, 654928) (877722, 660482) (878021, 878092) (1029396, 883251) (1032837, 1075462) (1192529, 1077890) (1308477, 1555828) (1753353, 1557115) (1762476, 1852491) 

Origin at position 927052 activated at 6
Head collision with transcription machinery around base 997660
Tail collision with transcription machinery around base 837507
Head collision with transcription machinery around base 622623
Head collision with transcription machinery around base 1016016
Head collision with transcription machinery around base 618070
Head collision with transcription machinery around base 610818
Head collision with transcription machinery around base 1023475
Head collision with transcription machinery around base 600059
Head collision with transcription machinery around base 1025844
Tail collision with transcription machinery around base 1049426
Head collision with transcription machinery around base 1095327
Head collision with transcription machinery around base 582765
Head collision with transcription machinery around base 1113604
Head collision with transcription machinery around base 1117931
Head collision with transcription machinery around base 563989
Head collision with transcription machinery around base 1126377
Head collision with transcription machinery around base 561124
Head collision with transcription machinery around base 1144717
Head collision with transcription machinery around base 560424
Head collision with transcription machinery around base 1152212
Head collision with transcription machinery around base 1170590
Head collision with transcription machinery around base 541206
Head collision with transcription machinery around base 1185329
Tail collision with transcription machinery around base 1322602
Tail collision with transcription machinery around base 1376981
Tail collision with transcription machinery around base 1431360
Tail collision with transcription machinery around base 1485738
Head collision with transcription machinery around base 521172
Tail collision with transcription machinery around base 1540117
Head collision with transcription machinery around base 1568889
Head collision with transcription machinery around base 514541
Head collision with transcription machinery around base 1574894
Head collision with transcription machinery around base 506936
Head collision with transcription machinery around base 1594198
Head collision with transcription machinery around base 1595486
Head collision with transcription machinery around base 503776
Head collision with transcription machinery around base 1601728
Head collision with transcription machinery around base 486449
Head collision with transcription machinery around base 1611304
Tail collision with transcription machinery around base 427065
Head collision with transcription machinery around base 378285
Head collision with transcription machinery around base 1612505
Head collision with transcription machinery around base 1632852
Head collision with transcription machinery around base 366880
Head collision with transcription machinery around base 349759
Head collision with transcription machinery around base 1641320
Head collision with transcription machinery around base 1659253
Head collision with transcription machinery around base 1672176
Head collision with transcription machinery around base 1675054
Head collision with transcription machinery around base 1689371
Head collision with transcription machinery around base 349085
Head collision with transcription machinery around base 1689738
Head collision with transcription machinery around base 1709040
Head collision with transcription machinery around base 331574
Head collision with transcription machinery around base 1721868
Head collision with transcription machinery around base 316419
Head collision with transcription machinery around base 1730747
Head collision with transcription machinery around base 312664
Head collision with transcription machinery around base 1731918
Head collision with transcription machinery around base 299733
Head collision with transcription machinery around base 1732798
Head collision with transcription machinery around base 1752922
Tail collision with transcription machinery around base 1767017
Tail collision with transcription machinery around base 1821396
Head collision with transcription machinery around base 282327
Head collision with transcription machinery around base 279410
Head collision with transcription machinery around base 276684
Head collision with transcription machinery around base 265066
Head collision with transcription machinery around base 259835
Head collision with transcription machinery around base 246406
Head collision with transcription machinery around base 230027
Head collision with transcription machinery around base 225293
Head collision with transcription machinery around base 212660
Head collision with transcription machinery around base 202806
Head collision with transcription machinery around base 185502
Head collision with transcription machinery around base 174845
Head collision with transcription machinery around base 162597
Head collision with transcription machinery around base 153960
Tail collision with transcription machinery around base 142481
Tail collision with transcription machinery around base 88102
Duration: 639060

