[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	5313	3	1	0	2000	
2	5315	3	1	0	1800	
3	5318	5	2	0	1600	
4	5309	5	4	0	1400	
5	5328	6	2	0	1200	
6	5307	6	2	0	1000	
7	5313	8	3	0	800	
8	5313	10	4	0	600	
9	5308	15	6	0	400	
10	5332	29	13	0	200	
11	16828	6	3	2880	2000	
12	19710	8	3	2880	1800	
13	39887	18	2	2880	1600	
14	13947	6	3	2880	1400	
15	19742	8	4	2880	1200	
16	91728	45	5	2880	1000	
17	39893	18	6	2880	800	
18	88845	44	8	2880	600	
19	36996	18	11	2880	400	
20	149338	65	23	2880	200	
21	91718	23	2	5760	2000	
22	22588	5	3	5760	1800	
23	39868	9	2	5760	1600	
24	22591	5	3	5760	1400	
25	91715	23	3	5760	1200	
26	91732	23	5	5760	1000	
27	39901	9	6	5760	800	
28	91722	23	8	5760	600	
29	91712	24	12	5760	400	
30	310639	83	24	5760	200	
31	31229	5	2	8640	2000	
32	91724	15	2	8640	1800	
33	39875	6	2	8640	1600	
34	39871	6	4	8640	1400	
35	39899	6	3	8640	1200	
36	91716	15	5	8640	1000	
37	186753	32	6	8640	800	
38	91714	15	8	8640	600	
39	178122	30	11	8640	400	
40	10675837	1919	25	8640	200	
41	97473	12	2	11520	2000	
42	51396	6	3	11520	1800	
43	39868	5	3	11520	1600	
44	51386	6	4	11520	1400	
45	97475	12	3	11520	1200	
46	97472	12	4	11520	1000	
47	97482	12	6	11520	800	
48	97474	12	8	11520	600	
49	397060	51	11	11520	400	
50	304840	41	24	11520	200	
51	48508	5	2	14400	2000	
52	7119285	740	4	14400	1800	
53	5952650	620	3	14400	1600	
54	62922	6	3	14400	1400	
55	4455035	463	4	14400	1200	
56	91719	9	5	14400	1000	
57	3000669	313	7	14400	800	
58	2237436	232	8	14400	600	
59	1459758	152	12	14400	400	
60	739738	79	24	14400	200	
61	91714	8	2	17280	2000	
62	91727	8	3	17280	1800	
63	195413	17	2	17280	1600	
64	74436	6	3	17280	1400	
65	91712	8	3	17280	1200	
66	91731	8	5	17280	1000	
67	195393	17	6	17280	800	
68	437331	38	8	17280	600	
69	178110	15	11	17280	400	
70	29917363	2075	25	17280	200	
71	45632	3	2	20160	2000	
72	65795	5	3	20160	1800	
73	126287	9	2	20160	1600	
74	106121	8	4	20160	1400	
75	287560	21	3	20160	1200	
76	106129	8	5	20160	1000	
77	126281	10	5	20160	800	
78	287564	21	8	20160	600	
79	267390	20	12	20160	400	
80	1477042	88	25	20160	200	
81	97467	6	2	23040	2000	
82	235719	15	2	23040	1800	
83	97479	6	2	23040	1600	
84	120514	8	3	23040	1400	
85	97475	6	3	23040	1200	
86	97479	6	4	23040	1000	
87	466163	30	6	23040	800	
88	235727	15	8	23040	600	
89	1088234	56	12	23040	400	
90	3184898	165	24	23040	200	
91	1016205	59	3	25920	2000	
92	108988	6	3	25920	1800	
93	83078	5	3	25920	1600	
94	160851	9	5	25920	1400	
95	212671	12	3	25920	1200	
96	886598	51	6	25920	1000	
97	212692	12	5	25920	800	
98	186749	11	8	25920	600	
99	653311	38	11	25920	400	
100	29943292	1386	25	25920	200	
