[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	6449	5	3	0	2000	
2	6455	6	4	0	1800	
3	6497	6	6	0	1600	
4	6456	6	3	0	1400	
5	6459	7	8	0	1200	
6	6470	9	7	0	1000	
7	6462	10	9	0	800	
8	6464	14	12	0	600	
9	6456	19	17	0	400	
10	6485	40	30	0	200	
11	20854	9	2	2880	2000	
12	26615	11	4	2880	1800	
13	49658	24	5	2880	1600	
14	17995	8	6	2880	1400	
15	26642	11	6	2880	1200	
16	118784	62	8	2880	1000	
17	49657	25	9	2880	800	
18	118797	62	11	2880	600	
19	49661	25	19	2880	400	
20	113026	59	40	2880	200	
21	121674	32	6	5760	2000	
22	29519	6	2	5760	1800	
23	52532	13	5	5760	1600	
24	29489	7	7	5760	1400	
25	121663	33	6	5760	1200	
26	121671	32	8	5760	1000	
27	52541	13	9	5760	800	
28	121712	33	12	5760	600	
29	115896	30	21	5760	400	
30	432791	118	42	5760	200	
31	41013	7	3	8640	2000	
32	127415	22	4	8640	1800	
33	49650	8	6	8640	1600	
34	49658	8	7	8640	1400	
35	49656	9	7	8640	1200	
36	118781	21	9	8640	1000	
37	248380	47	11	8640	800	
38	118770	22	12	8640	600	
39	239747	45	19	8640	400	
40	14305836	2665	42	8640	200	
41	121664	16	4	11520	2000	
42	64053	8	5	11520	1800	
43	52538	8	5	11520	1600	
44	64066	8	4	11520	1400	
45	121656	17	5	11520	1200	
46	121674	16	8	11520	1000	
47	121673	17	9	11520	800	
48	121652	17	14	11520	600	
49	524873	71	20	11520	400	
50	432710	59	40	11520	200	
51	49668	5	5	14400	2000	
52	9554174	1045	6	14400	1800	
53	7926621	866	7	14400	1600	
54	78456	8	5	14400	1400	
55	5953828	650	9	14400	1200	
56	121662	13	8	14400	1000	
57	3981025	434	12	14400	800	
58	2987428	326	14	14400	600	
59	1950525	213	21	14400	400	
60	1028914	113	41	14400	200	
61	127417	11	4	17280	2000	
62	127419	11	4	17280	1800	
63	265661	24	4	17280	1600	
64	110153	9	4	17280	1400	
65	127439	12	6	17280	1200	
66	127419	11	8	17280	1000	
67	265665	25	9	17280	800	
68	576709	52	12	17280	600	
69	265669	24	20	17280	400	
70	14279907	1330	42	17280	200	
71	66931	5	3	20160	2000	
72	87095	6	3	20160	1800	
73	187890	14	4	20160	1600	
74	127433	10	6	20160	1400	
75	389502	30	6	20160	1200	
76	127411	11	8	20160	1000	
77	167738	13	9	20160	800	
78	369359	30	12	20160	600	
79	349172	28	20	20160	400	
80	732230	57	39	20160	200	
81	121658	8	4	23040	2000	
82	305989	21	5	23040	1800	
83	121667	8	5	23040	1600	
84	167734	11	4	23040	1400	
85	121662	9	7	23040	1200	
86	121659	8	8	23040	1000	
87	605537	41	9	23040	800	
88	305982	20	13	23040	600	
89	536400	36	19	23040	400	
90	1550158	107	41	23040	200	
91	1354309	82	6	25920	2000	
92	136058	8	5	25920	1800	
93	110141	8	5	25920	1600	
94	187893	11	5	25920	1400	
95	265653	17	6	25920	1200	
96	1198784	72	9	25920	1000	
97	265659	17	9	25920	800	
98	265709	17	15	25920	600	
99	887740	53	21	25920	400	
100	14314473	889	42	25920	200	
