Chromosome: TcChr38-S
Organism: Trypanosoma cruzi CL Brener Esmeraldo-like
Origins: 
722402 
Length: 1444805 bases
Replication Speed: 67 b/s
Transcription Regions: 
(63898, 1346) (67202, 213251) (214679, 214017) (216447, 226050) (229948, 227039) (230226, 405983) (417430, 406386) (421059, 437759) (450187, 439022) (455483, 459577) (460442, 460008) (461594, 469466) (506172, 469956) (1049748, 1330008) 

Origin at position 722402 activated at 21
Tail collision with transcription machinery around base 492954
Tail collision with transcription machinery around base 445954
Head collision with transcription machinery around base 431682
Head collision with transcription machinery around base 382857
Head collision with transcription machinery around base 362120
Tail collision with transcription machinery around base 1098681
Head collision with transcription machinery around base 341388
Head collision with transcription machinery around base 320658
Head collision with transcription machinery around base 299928
Tail collision with transcription machinery around base 1153059
Head collision with transcription machinery around base 279198
Head collision with transcription machinery around base 258468
Head collision with transcription machinery around base 237738
Tail collision with transcription machinery around base 1207438
Head collision with transcription machinery around base 208115
Head collision with transcription machinery around base 187391
Tail collision with transcription machinery around base 1261817
Head collision with transcription machinery around base 166663
Head collision with transcription machinery around base 145933
Tail collision with transcription machinery around base 1316195
Head collision with transcription machinery around base 125203
Head collision with transcription machinery around base 104473
Head collision with transcription machinery around base 83743
Tail collision with transcription machinery around base 17820
Duration: 10812

Origin at position 722402 activated at 11
Tail collision with transcription machinery around base 493497
Tail collision with transcription machinery around base 446497
Head collision with transcription machinery around base 431474
Tail collision with transcription machinery around base 1098138
Tail collision with transcription machinery around base 1152516
Tail collision with transcription machinery around base 1206895
Head collision with transcription machinery around base 428942
Tail collision with transcription machinery around base 1261273
Tail collision with transcription machinery around base 1315652
Head collision with transcription machinery around base 426398
Head collision with transcription machinery around base 423849
Head collision with transcription machinery around base 421320
Head collision with transcription machinery around base 390676
Head collision with transcription machinery around base 388141
Head collision with transcription machinery around base 385595
Head collision with transcription machinery around base 383046
Head collision with transcription machinery around base 380517
Head collision with transcription machinery around base 377974
Head collision with transcription machinery around base 375426
Head collision with transcription machinery around base 372897
Head collision with transcription machinery around base 370354
Head collision with transcription machinery around base 367806
Head collision with transcription machinery around base 365277
Head collision with transcription machinery around base 362734
Head collision with transcription machinery around base 360186
Head collision with transcription machinery around base 357657
Head collision with transcription machinery around base 355114
Head collision with transcription machinery around base 352566
Head collision with transcription machinery around base 350037
Head collision with transcription machinery around base 347494
Head collision with transcription machinery around base 344946
Head collision with transcription machinery around base 342417
Head collision with transcription machinery around base 339874
Head collision with transcription machinery around base 337326
Head collision with transcription machinery around base 334797
Head collision with transcription machinery around base 332254
Head collision with transcription machinery around base 329706
Head collision with transcription machinery around base 327177
Head collision with transcription machinery around base 324634
Head collision with transcription machinery around base 322086
Head collision with transcription machinery around base 319557
Head collision with transcription machinery around base 317014
Head collision with transcription machinery around base 314466
Head collision with transcription machinery around base 311937
Head collision with transcription machinery around base 309394
Head collision with transcription machinery around base 306846
Head collision with transcription machinery around base 304317
Head collision with transcription machinery around base 301774
Head collision with transcription machinery around base 299226
Head collision with transcription machinery around base 296697
Head collision with transcription machinery around base 294154
Head collision with transcription machinery around base 291606
Head collision with transcription machinery around base 289077
Head collision with transcription machinery around base 286534
Head collision with transcription machinery around base 283986
Head collision with transcription machinery around base 281457
Head collision with transcription machinery around base 278914
Head collision with transcription machinery around base 276366
Head collision with transcription machinery around base 273837
Head collision with transcription machinery around base 271294
Head collision with transcription machinery around base 268746
Head collision with transcription machinery around base 266217
Head collision with transcription machinery around base 263674
Head collision with transcription machinery around base 261126
Head collision with transcription machinery around base 258597
Head collision with transcription machinery around base 256054
Head collision with transcription machinery around base 253506
Head collision with transcription machinery around base 250977
Head collision with transcription machinery around base 248434
Head collision with transcription machinery around base 245886
Head collision with transcription machinery around base 243357
Head collision with transcription machinery around base 240814
Head collision with transcription machinery around base 238266
Head collision with transcription machinery around base 235737
Head collision with transcription machinery around base 233194
Head collision with transcription machinery around base 230646
