[Gene ID]	[source_id]	[Organism]	[Genomic Location(s)]	[Product Description]	
LmxM.25.0010	LmxM.25.0010.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 9,595 - 10,899 (-)	beta galactofuranosyl transferase	
LmxM.25.0020	LmxM.25.0020.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 11,531 - 12,250 (-)	n-terminal acetyltransferase complex ard1 subunit homolog, putative	
LmxM.25.0030	LmxM.25.0030.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 12,444 - 14,162 (-)	hypothetical protein, unknown function	
LmxM.25.0040	LmxM.25.0040.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 14,900 - 18,715 (-)	hypothetical protein, conserved	
LmxM.25.0050	LmxM.25.0050.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 19,442 - 19,957 (-)	hypothetical protein, conserved	
LmxM.25.0060	LmxM.25.0060.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 20,547 - 21,005 (-)	hypothetical protein, conserved	
LmxM.25.0070	LmxM.25.0070.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 22,879 - 23,772 (-)	hypothetical protein, conserved	
LmxM.25.0080	LmxM.25.0080.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 25,408 - 27,042 (-)	poly(A)-binding protein, putative	
LmxM.25.0090	LmxM.25.0090.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 29,433 - 29,795 (-)	hypothetical protein, conserved	
LmxM.25.0100	LmxM.25.0100.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 32,667 - 32,882 (-)	hypothetical protein, conserved	
LmxM.25.0110	LmxM.25.0110.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 33,540 - 34,964 (-)	hypothetical protein, conserved	
LmxM.25.0120	LmxM.25.0120.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 37,749 - 38,525 (-)	electron transfer flavoprotein, putative	
LmxM.25.0130	LmxM.25.0130.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 39,874 - 41,778 (-)	elongation factor, putative	
LmxM.25.0140	LmxM.25.0140.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 42,761 - 43,150 (-)	hypothetical protein, conserved	
LmxM.25.0150	LmxM.25.0150.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 43,919 - 46,057 (-)	hypothetical protein, conserved	
LmxM.25.0160	LmxM.25.0160.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 46,793 - 47,440 (-)	hypothetical protein, conserved	
LmxM.25.0170	LmxM.25.0170.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 48,717 - 51,185 (-)	cleavage and polyadenylation specificity factor, putative	
LmxM.25.0180	LmxM.25.0180.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 52,132 - 55,281 (-)	hypothetical protein, conserved	
LmxM.25.0190	LmxM.25.0190.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 56,878 - 57,579 (-)	ubiquitin carboxyl-terminal hydrolase, putative	
LmxM.25.0200	LmxM.25.0200.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 58,692 - 62,822 (-)	Putative intraflagellar transport protein F6	
LmxM.25.0210	LmxM.25.0210.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 65,002 - 65,913 (-)	mitochondrial carrier protein, putative	
LmxM.25.0220	LmxM.25.0220.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 68,068 - 70,209 (-)	hypothetical protein, conserved	
LmxM.25.0230	LmxM.25.0230.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 71,674 - 72,660 (-)	hypothetical protein, conserved	
LmxM.25.0240	LmxM.25.0240.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 73,367 - 73,927 (-)	hypothetical protein, conserved	
LmxM.25.0250	LmxM.25.0250.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 74,593 - 77,226 (-)	hypothetical protein, conserved	
LmxM.25.0260	LmxM.25.0260.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 78,076 - 78,345 (-)	Dynein light chain 1, cytoplasmic, putative	
LmxM.25.0270	LmxM.25.0270.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 79,345 - 82,806 (-)	hypothetical protein, conserved	
LmxM.25.0280	LmxM.25.0280.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 84,136 - 86,196 (-)	hypothetical protein, conserved	
LmxM.25.0290	LmxM.25.0290.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 87,600 - 89,369 (-)	RNA-binding protein, putative	
LmxM.25.0300	LmxM.25.0300.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 90,974 - 92,821 (-)	hypothetical protein, conserved	
LmxM.25.0305	LmxM.25.0305.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 93,502 - 93,774 (-)	hypothetical protein, conserved	
LmxM.25.0310	LmxM.25.0310.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 94,447 - 97,695 (-)	hypothetical protein, conserved	
LmxM.25.0320	LmxM.25.0320.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 98,335 - 98,886 (-)	B9 domain-containing protein 2	
LmxM.25.0330	LmxM.25.0330.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 100,030 - 102,090 (-)	hypothetical protein, conserved	
LmxM.25.0340	LmxM.25.0340.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 104,359 - 106,341 (-)	hypothetical protein, conserved	
LmxM.25.0350	LmxM.25.0350.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 108,031 - 110,289 (-)	hypothetical protein, conserved	
LmxM.25.0360	LmxM.25.0360.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 111,076 - 111,450 (-)	hypothetical protein, conserved	
LmxM.25.0370	LmxM.25.0370.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 112,582 - 113,121 (-)	hypothetical protein, conserved	
LmxM.25.0380	LmxM.25.0380.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 114,007 - 116,505 (-)	hypothetical protein, conserved	
LmxM.25.0390	LmxM.25.0390.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 117,707 - 118,312 (-)	hypothetical protein, conserved	
LmxM.25.0400	LmxM.25.0400.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 119,187 - 119,489 (-)	hypothetical protein, unknown function	
LmxM.25.0410	LmxM.25.0410.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 120,903 - 121,790 (-)	hypothetical protein, conserved	
LmxM.25.0420	LmxM.25.0420.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 123,130 - 127,935 (-)	hypothetical protein, conserved	
LmxM.25.0430	LmxM.25.0430.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 129,221 - 132,274 (-)	hypothetical protein, conserved	
LmxM.25.0440	LmxM.25.0440.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 133,185 - 135,296 (-)	transcription factor IIIb, putative	
LmxM.25.0450	LmxM.25.0450.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 136,451 - 138,040 (-)	hypothetical protein, conserved	
LmxM.25.0460	LmxM.25.0460.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 139,558 - 139,959 (-)	hypothetical protein, conserved	
LmxM.25.0470	LmxM.25.0470.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 142,991 - 146,434 (-)	hypothetical protein, conserved	
LmxM.25.0480	LmxM.25.0480.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 148,553 - 153,070 (-)	hypothetical protein, conserved	
LmxM.25.0490	LmxM.25.0490.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 160,780 - 161,304 (-)	RNA-binding protein, putative, UPB1	
LmxM.25.0500	LmxM.25.0500.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 170,358 - 170,861 (-)	RNA-binding protein, putative, UPB2	
LmxM.25.0510	LmxM.25.0510.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 172,202 - 173,899 (-)	hypothetical protein, unknown function	
LmxM.25.0520	LmxM.25.0520.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 174,970 - 175,692 (-)	RNA-binding protein, putative	
LmxM.25.0530	LmxM.25.0530.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 179,832 - 181,802 (-)	ABC transporter, mitochondrial, putative	
LmxM.25.0540	LmxM.25.0540.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 188,830 - 189,717 (-)	hypothetical protein, conserved	
LmxM.25.0550	LmxM.25.0550.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 191,048 - 193,075 (-)	hypothetical protein, conserved	
LmxM.25.0560	LmxM.25.0560.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 194,085 - 194,675 (-)	hypothetical protein, conserved	
LmxM.25.0570	LmxM.25.0570.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 195,612 - 196,592 (-)	hypothetical protein, conserved	
LmxM.25.0580	LmxM.25.0580.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 197,410 - 197,982 (-)	hypothetical protein, conserved	
LmxM.25.0590	LmxM.25.0590.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 199,507 - 199,806 (-)	hypothetical protein, conserved	
LmxM.25.0600	LmxM.25.0600.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 202,595 - 203,842 (-)	hypothetical protein, conserved	
LmxM.25.0610	LmxM.25.0610.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 204,867 - 209,291 (-)	Regulatory-associated protein of TOR1	
LmxM.25.0620	LmxM.25.0620.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 211,177 - 216,024 (-)	RNA polymerase I second largest subunit, putative	
LmxM.25.0630	LmxM.25.0630.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 217,229 - 218,134 (-)	hypothetical protein, conserved	
LmxM.25.0640	LmxM.25.0640.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 218,927 - 219,415 (-)	hypothetical protein, conserved	
LmxM.25.0650	LmxM.25.0650.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 219,916 - 221,898 (-)	predicted zinc finger protein	
LmxM.25.0660	LmxM.25.0660.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 222,657 - 222,944 (-)	hypothetical protein, conserved	
LmxM.25.0670	LmxM.25.0670.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 225,888 - 227,795 (-)	epsin, putative	
LmxM.25.0680	LmxM.25.0680.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 230,909 - 236,074 (-)	myosin heavy chain kinase c-like protein	
LmxM.25.0690	LmxM.25.0690.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 240,694 - 243,867 (-)	hypothetical protein, conserved	
LmxM.25.0700	LmxM.25.0700.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 244,642 - 246,267 (-)	hypothetical protein, conserved	
LmxM.25.0710	LmxM.25.0710.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 251,324 - 252,406 (-)	hypothetical protein, conserved	
LmxM.25.0715	LmxM.25.0715.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 253,761 - 254,597 (-)	hypothetical protein, conserved	
LmxM.25.0720	LmxM.25.0720.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 257,114 - 257,614 (+)	eukaryotic initiation factor 5a, putative	
LmxM.25.0730	LmxM.25.0730.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 258,001 - 258,501 (+)	eukaryotic initiation factor 5a, putative	
LmxM.25.0740	LmxM.25.0740.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 259,942 - 263,220 (+)	DNA repair protein, putative	
LmxM.25.0750	LmxM.25.0750.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 265,701 - 266,921 (+)	protein phosphatase, putative	
LmxM.25.0760	LmxM.25.0760.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 273,364 - 274,419 (+)	hypothetical protein, conserved	
LmxM.25.0770	LmxM.25.0770.1	L. mexicana MHOM/GT/2001/U1103	LmxM.25: 275,613 - 276,875 (+)	hypothetical protein, unknown function	
