[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.427355.10	TcCLB.427355.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 363,473 - 363,931 (+)	oligosaccharyl transferase subunit, putative (fragment)	
TcCLB.439653.10	TcCLB.439653.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 370,747 - 371,175 (+)	NADH-dependent fumarate reductase, putative	
TcCLB.461165.10	TcCLB.461165.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 230,226 - 233,162 (+)	hypothetical protein, conserved	
TcCLB.461165.16	TcCLB.461165.16:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 229,697 - 229,948 (-)	glyceraldehyde 3-phosphate dehydrogenase, cytosolic, putative (fragment)	
TcCLB.461165.4	TcCLB.461165.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 233,376 - 234,134 (+)	hypothetical protein, conserved (fragment)	
TcCLB.483813.10	TcCLB.483813.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 474,974 - 475,489 (-)	trans-sialidase, putative (fragment)	
TcCLB.492827.10	TcCLB.492827.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 402,058 - 402,309 (+)	trans-sialidase, putative (fragment)	
TcCLB.498829.10	TcCLB.498829.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 1,204,297 - 1,204,929 (+)	mucin TcMUC, putative	
TcCLB.498829.21	TcCLB.498829.21:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 1,206,350 - 1,207,018 (+)	hypothetical protein	
TcCLB.503453.10	TcCLB.503453.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 85,174 - 85,971 (+)	hypothetical protein, conserved	
TcCLB.503453.100	TcCLB.503453.100:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr38-S: 103,841 - 105,523 (+)	serine palmitoyltransferase, putative	
