[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.417091.10	TcCLB.417091.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 75,585 - 76,391 (+)	RNA pseudouridylate synthase, putative	
TcCLB.420293.20	TcCLB.420293.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 389,746 - 391,932 (-)	trans-sialidase, Group II, putative	
TcCLB.420293.31	TcCLB.420293.31:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 388,234 - 388,908 (-)	hypothetical protein	
TcCLB.420293.40	TcCLB.420293.40:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 386,470 - 387,609 (-)	beta galactofuranosyl glycosyltransferase (pseudogene), putative	
TcCLB.420293.50	TcCLB.420293.50:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 383,429 - 383,983 (-)	trans-sialidase (pseudogene), putative	
TcCLB.434945.10	TcCLB.434945.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 151,978 - 152,652 (-)	hypothetical protein, conserved	
TcCLB.434945.4	TcCLB.434945.4:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 151,129 - 151,703 (-)	ADP-ribosylation factor, putative	
TcCLB.461927.9	TcCLB.461927.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 82,566 - 84,255 (+)	adenosine monophosphate deaminase, putative	
TcCLB.503855.10	TcCLB.503855.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 150,355 - 151,026 (-)	hypothetical protein, conserved	
TcCLB.503855.20	TcCLB.503855.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 148,764 - 149,654 (-)	spermidine synthase, putative	
TcCLB.503855.30	TcCLB.503855.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 146,790 - 148,178 (-)	adenylosuccinate lyase, putative	
TcCLB.503855.40	TcCLB.503855.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 143,794 - 146,346 (-)	calpain-like cysteine peptidase, putative	
TcCLB.503855.50	TcCLB.503855.50:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 131,794 - 142,074 (-)	hypothetical protein, conserved	
TcCLB.503855.60	TcCLB.503855.60:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 130,083 - 131,156 (-)	hypothetical protein, conserved	
TcCLB.503855.80	TcCLB.503855.80:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 126,146 - 127,648 (-)	hypothetical protein, conserved	
TcCLB.504033.100	TcCLB.504033.100:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 191,453 - 193,732 (-)	hypothetical protein, conserved	
TcCLB.504033.110	TcCLB.504033.110:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 190,686 - 191,126 (-)	hypothetical protein, conserved	
TcCLB.504033.120	TcCLB.504033.120:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 189,386 - 190,165 (-)	hypothetical protein, conserved	
TcCLB.504033.130	TcCLB.504033.130:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 188,214 - 189,104 (-)	spermidine synthase, putative	
TcCLB.504033.140	TcCLB.504033.140:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 184,423 - 187,461 (-)	hypothetical protein, conserved (pseudogene)	
TcCLB.504033.160	TcCLB.504033.160:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 182,430 - 184,127 (-)	hypothetical protein	
TcCLB.504033.170	TcCLB.504033.170:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 180,842 - 181,864 (-)	tyrosine phosphatase, putative	
TcCLB.504033.180	TcCLB.504033.180:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 175,911 - 179,978 (-)	hypothetical protein, conserved	
TcCLB.504033.190	TcCLB.504033.190:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 174,370 - 175,521 (-)	EF hand, putative	
TcCLB.504033.200	TcCLB.504033.200:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 172,019 - 173,842 (-)	hypothetical protein	
TcCLB.504033.21	TcCLB.504033.21:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 211,021 - 212,154 (+)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	
TcCLB.504033.210	TcCLB.504033.210:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 171,017 - 171,616 (-)	hypothetical protein, conserved	
TcCLB.504033.220	TcCLB.504033.220:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 168,150 - 170,759 (-)	palmitoyl acyltransferase 1, putative	
TcCLB.504033.40	TcCLB.504033.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 207,760 - 208,872 (+)	hypothetical protein	
TcCLB.504033.53	TcCLB.504033.53:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 204,191 - 204,727 (+)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	
TcCLB.504033.66	TcCLB.504033.66:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 199,313 - 199,570 (+)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	
TcCLB.504033.73	TcCLB.504033.73:tRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 199,212 - 199,283 (+)	tRNA-Pro:anticodon AGG	
TcCLB.504033.80	TcCLB.504033.80:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 197,470 - 198,072 (-)	hypothetical protein, conserved	
TcCLB.504033.90	TcCLB.504033.90:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 194,370 - 195,236 (-)	mitochondrial carrier protein, putative	
TcCLB.504255.10	TcCLB.504255.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 254,993 - 255,703 (-)	hypothetical protein, conserved	
TcCLB.504255.20	TcCLB.504255.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 256,422 - 258,464 (-)	hypothetical protein	
TcCLB.504255.30	TcCLB.504255.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 260,867 - 262,666 (-)	hypothetical protein, conserved	
TcCLB.504255.4	TcCLB.504255.4:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 254,386 - 254,693 (-)	rhomboid-like protein	
TcCLB.504255.50	TcCLB.504255.50:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 263,196 - 263,717 (-)	hypothetical protein, conserved	
TcCLB.504557.10	TcCLB.504557.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 115,666 - 116,811 (-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	
TcCLB.504557.20	TcCLB.504557.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 113,097 - 114,230 (-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	
TcCLB.504557.40	TcCLB.504557.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 107,526 - 108,077 (-)	hypothetical protein	
TcCLB.504557.50	TcCLB.504557.50:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 100,946 - 107,347 (-)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.504557.60	TcCLB.504557.60:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 100,226 - 100,801 (+)	hypothetical protein, conserved	
TcCLB.505155.10	TcCLB.505155.10:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 358,083 - 360,854 (-)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.505155.4	TcCLB.505155.4:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 356,083 - 356,850 (-)	trans-sialidase, putative (fragment)	
TcCLB.506623.20	TcCLB.506623.20:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 1,753 - 4,884 (-)	trans-sialidase (pseudogene), putative	
TcCLB.506623.30	TcCLB.506623.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 5,402 - 6,046 (+)	hypothetical protein	
TcCLB.506623.40	TcCLB.506623.40:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 8,487 - 10,829 (-)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.506623.60	TcCLB.506623.60:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 13,649 - 19,621 (-)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.506625.100	TcCLB.506625.100:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr8-S: 44,961 - 46,190 (+)	hypothetical protein, conserved	
