[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.408547.10	TcCLB.408547.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 99,975 - 101,084 (-)	Mucin-associated surface protein (MASP), subgroup S030	
TcCLB.408547.5	TcCLB.408547.5:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 101,630 - 102,031 (-)	mucin TcMUCII, putative	
TcCLB.414145.9	TcCLB.414145.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 348,201 - 349,037 (+)	hypothetical protein, conserved (fragment)	
TcCLB.432621.9	TcCLB.432621.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 53,132 - 54,410 (-)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.442383.19	TcCLB.442383.19:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 374,617 - 375,261 (+)	hypothetical protein	
TcCLB.442383.9	TcCLB.442383.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 375,545 - 375,873 (+)	40S ribosomal protein SA, putative	
TcCLB.458015.10	TcCLB.458015.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 370,745 - 372,250 (+)	hypothetical protein, conserved	
TcCLB.458015.4	TcCLB.458015.4:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 372,933 - 373,763 (+)	hypothetical protein, conserved	
TcCLB.468405.9	TcCLB.468405.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 51,699 - 53,031 (-)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.482971.9	TcCLB.482971.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 46,507 - 47,916 (-)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.503675.10	TcCLB.503675.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 168,485 - 169,402 (+)	glycosyl transferase-like protein, putative	
TcCLB.503675.20	TcCLB.503675.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 169,746 - 170,402 (+)	Charged multivesicular body protein 3, putative	
TcCLB.503675.40	TcCLB.503675.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 171,612 - 173,657 (+)	hypothetical protein, conserved	
TcCLB.503757.10	TcCLB.503757.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 375,974 - 376,390 (+)	40S ribosomal protein SA, putative	
TcCLB.503757.20	TcCLB.503757.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 376,916 - 377,752 (+)	hypothetical protein, conserved	
TcCLB.503757.30	TcCLB.503757.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 378,253 - 380,844 (+)	hypothetical protein, conserved	
TcCLB.503757.40	TcCLB.503757.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 383,175 - 384,014 (+)	Casein kinase II subunit beta, putative	
TcCLB.503757.49	TcCLB.503757.49:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 384,974 - 385,225 (+)	hypothetical protein, conserved (fragment)	
TcCLB.503759.10	TcCLB.503759.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 398,004 - 400,277 (+)	trans-sialidase, Group II, putative	
TcCLB.503759.30	TcCLB.503759.30.1	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 401,604 - 401,956 (+)	trans-sialidase, putative	
TcCLB.503759.59	TcCLB.503759.59:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr16-S: 405,728 - 406,310 (+)	hypothetical protein, conserved	
