[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.415331.10	TcCLB.415331.10.1	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 570,727 - 572,186 (+)	trans-sialidase (pseudogene), putative	
TcCLB.425311.9	TcCLB.425311.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 118,201 - 120,144 (-)	hypothetical protein, conserved (fragment)	
TcCLB.466007.9	TcCLB.466007.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 584,570 - 586,174 (+)	dispersed gene family protein 1 (DGF-1), putative (fragment)	
TcCLB.503715.10	TcCLB.503715.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 242,676 - 243,587 (-)	splicing factor TSR1, putative	
TcCLB.503715.20	TcCLB.503715.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 242,047 - 242,547 (-)	hypothetical protein	
TcCLB.503715.30	TcCLB.503715.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 239,039 - 239,671 (-)	ras-related protein RAB1A, putative	
TcCLB.503715.40	TcCLB.503715.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 233,265 - 236,801 (-)	protein kinase, putative	
TcCLB.504139.10	TcCLB.504139.10:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 537,914 - 540,826 (+)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.505607.9	TcCLB.505607.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 574,742 - 579,147 (+)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.506401.100	TcCLB.506401.100:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 315,641 - 317,698 (-)	DNA polymerase sigma, putative	
TcCLB.506401.110	TcCLB.506401.110:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 318,599 - 321,940 (-)	protein kinase, putative	
TcCLB.506401.12	TcCLB.506401.12:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 291,389 - 291,976 (-)	Protein kinase domain, putative (fragment)	
TcCLB.506401.120	TcCLB.506401.120:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 323,350 - 323,922 (-)	40S ribosomal protein S9, putative	
TcCLB.506401.130	TcCLB.506401.130:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 324,609 - 325,001 (-)	hypothetical protein, conserved	
TcCLB.506401.140	TcCLB.506401.140:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 326,117 - 330,622 (-)	hypothetical protein, conserved	
TcCLB.506401.150	TcCLB.506401.150:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 331,217 - 332,299 (-)	hypothetical protein, conserved	
TcCLB.506401.160	TcCLB.506401.160:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr19-S: 332,895 - 333,920 (-)	hypothetical protein, conserved	
