[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	
TcCLB.419417.10	TcCLB.419417.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 84,415 - 84,834 (-)	
TcCLB.419417.19	TcCLB.419417.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 85,193 - 86,695 (-)	
TcCLB.419417.4	TcCLB.419417.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 83,662 - 84,153 (-)	
TcCLB.449247.10	TcCLB.449247.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 61,763 - 62,221 (-)	
TcCLB.449247.20	TcCLB.449247.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 62,644 - 63,222 (-)	
TcCLB.449247.4	TcCLB.449247.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 60,457 - 60,990 (-)	
TcCLB.506717.10	TcCLB.506717.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 88,690 - 90,159 (-)	
TcCLB.506717.100	TcCLB.506717.100:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 119,065 - 120,630 (+)	
TcCLB.506717.130	TcCLB.506717.130:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 121,922 - 124,228 (+)	
TcCLB.506717.140	TcCLB.506717.140:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 128,263 - 130,785 (+)	
TcCLB.506717.20	TcCLB.506717.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 91,746 - 95,588 (+)	
TcCLB.506717.200	TcCLB.506717.200:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 144,318 - 145,052 (+)	
TcCLB.506717.219	TcCLB.506717.219:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 146,096 - 148,053 (+)	
TcCLB.506717.240	TcCLB.506717.240:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 148,569 - 149,417 (+)	
TcCLB.506717.25	TcCLB.506717.25:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 98,009 - 100,486 (+)	
TcCLB.506717.30	TcCLB.506717.30:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 101,847 - 106,904 (+)	
TcCLB.506717.4	TcCLB.506717.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 86,798 - 88,012 (-)	
TcCLB.506717.60	TcCLB.506717.60:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 109,194 - 112,160 (+)	
TcCLB.506717.80	TcCLB.506717.80:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 113,450 - 116,617 (+)	
TcCLB.507941.10	TcCLB.507941.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 1,660 - 4,116 (-)	
TcCLB.507941.100	TcCLB.507941.100:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 18,298 - 21,561 (-)	
TcCLB.507941.110	TcCLB.507941.110:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 22,073 - 23,230 (-)	
TcCLB.507941.120	TcCLB.507941.120:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 23,850 - 25,058 (-)	
TcCLB.507941.130	TcCLB.507941.130:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 25,340 - 26,569 (-)	
TcCLB.507941.14	TcCLB.507941.14:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 4,541 - 4,855 (-)	
TcCLB.507941.150	TcCLB.507941.150:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 28,505 - 28,807 (-)	
TcCLB.507941.160	TcCLB.507941.160:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 29,153 - 29,455 (-)	
TcCLB.507941.170	TcCLB.507941.170:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 29,801 - 30,103 (-)	
TcCLB.507941.20	TcCLB.507941.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 5,096 - 7,282 (-)	
TcCLB.507941.30	TcCLB.507941.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 7,462 - 9,306 (-)	
TcCLB.507941.40	TcCLB.507941.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 9,516 - 11,006 (-)	
TcCLB.507941.50	TcCLB.507941.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 11,591 - 12,286 (-)	
TcCLB.507941.60	TcCLB.507941.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 12,719 - 14,053 (-)	
TcCLB.507941.70	TcCLB.507941.70:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 14,622 - 17,183 (-)	
TcCLB.507941.80	TcCLB.507941.80:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 17,482 - 18,060 (-)	
TcCLB.508203.20	TcCLB.508203.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 30,522 - 30,824 (-)	
TcCLB.508203.29	TcCLB.508203.29:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 31,170 - 31,472 (-)	
TcCLB.508203.38	TcCLB.508203.38:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 31,816 - 32,118 (-)	
TcCLB.508203.47	TcCLB.508203.47:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 32,462 - 32,764 (-)	
TcCLB.508203.56	TcCLB.508203.56:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 33,093 - 33,395 (-)	
TcCLB.508205.10	TcCLB.508205.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 65,882 - 66,517 (-)	
TcCLB.508205.20	TcCLB.508205.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 67,131 - 69,113 (-)	
TcCLB.508205.30	TcCLB.508205.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 70,411 - 71,658 (-)	
TcCLB.508205.39	TcCLB.508205.39:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 72,164 - 72,436 (-)	
TcCLB.508205.4	TcCLB.508205.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 65,173 - 65,684 (-)	
TcCLB.508205.48	TcCLB.508205.48:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 73,569 - 73,859 (-)	
TcCLB.510351.100	TcCLB.510351.100:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 49,235 - 51,043 (-)	
TcCLB.510351.11	TcCLB.510351.11:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 34,064 - 34,366 (-)	
TcCLB.510351.110	TcCLB.510351.110:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 51,387 - 52,838 (-)	
TcCLB.510351.120	TcCLB.510351.120:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 53,498 - 54,007 (-)	
TcCLB.510351.130	TcCLB.510351.130:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 54,391 - 55,353 (-)	
TcCLB.510351.140	TcCLB.510351.140:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 55,549 - 55,920 (-)	
TcCLB.510351.150	TcCLB.510351.150:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 56,924 - 57,400 (-)	
TcCLB.510351.20	TcCLB.510351.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 34,710 - 35,012 (-)	
