[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.419703.10	TcCLB.419703.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 649,764 - 650,495 (-)	hypothetical protein	
TcCLB.419703.20	TcCLB.419703.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 650,719 - 651,489 (-)	ubiquitin carboxyl-terminal hydrolase, putative	
TcCLB.420369.20	TcCLB.420369.20:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 67,685 - 69,895 (-)	trans-sialidase (pseudogene), putative	
TcCLB.420369.40	TcCLB.420369.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 74,044 - 74,943 (+)	hypothetical protein, conserved	
TcCLB.450155.9	TcCLB.450155.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 150,812 - 151,671 (+)	hypothetical protein, conserved	
TcCLB.457547.9	TcCLB.457547.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 50,482 - 54,812 (-)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.479721.10	TcCLB.479721.10:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 54,921 - 55,820 (-)	hypothetical protein, conserved (pseudogene)	
TcCLB.503391.10	TcCLB.503391.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 296,872 - 297,282 (-)	ATP-dependent DEAD/H DNA helicase recQ, putative	
TcCLB.503449.10	TcCLB.503449.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 723,426 - 723,926 (-)	60S ribosomal protein L17, putative	
TcCLB.503449.14	TcCLB.503449.14:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 724,180 - 724,722 (-)	hypothetical protein, conserved	
TcCLB.503449.20	TcCLB.503449.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 724,934 - 725,572 (-)	copper homeostasis protein, putative	
TcCLB.503449.30	TcCLB.503449.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 725,843 - 727,345 (-)	clathrin coat assembly protein, putative	
TcCLB.503449.40	TcCLB.503449.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 727,594 - 729,360 (-)	hypothetical protein, conserved	
TcCLB.503449.5	TcCLB.503449.5:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 723,057 - 723,155 (-)	hypothetical protein, conserved (fragment)	
TcCLB.503487.10	TcCLB.503487.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 472,978 - 473,577 (-)	DNA-directed RNA polymerase, mitochondrial (fragment)	
TcCLB.503487.20	TcCLB.503487.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 470,000 - 472,336 (-)	hypothetical protein	
TcCLB.503487.30	TcCLB.503487.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 468,802 - 469,599 (-)	hypothetical protein, conserved	
TcCLB.503487.40	TcCLB.503487.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 465,752 - 468,307 (-)	hypothetical protein, conserved	
TcCLB.503487.50	TcCLB.503487.50:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 464,266 - 465,453 (-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	
TcCLB.503487.60	TcCLB.503487.60:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 463,385 - 464,008 (-)	hypothetical protein, conserved	
TcCLB.503487.70	TcCLB.503487.70:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 461,696 - 462,844 (-)	hypothetical protein, conserved	
TcCLB.503551.20	TcCLB.503551.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 173,998 - 176,346 (+)	hypothetical protein, conserved	
TcCLB.503623.10	TcCLB.503623.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 767,703 - 769,652 (+)	dispersed gene family protein 1 (DGF-1), putative	
TcCLB.503789.10	TcCLB.503789.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 587,606 - 588,124 (-)	hypothetical protein	
TcCLB.503789.20	TcCLB.503789.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 585,379 - 587,442 (-)	hypothetical protein, conserved	
TcCLB.503789.30	TcCLB.503789.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 583,956 - 584,768 (-)	hypothetical protein, conserved	
TcCLB.503789.34	TcCLB.503789.34:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr26-S: 583,383 - 583,634 (-)	hypothetical protein, conserved	
