[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.416883.18	TcCLB.416883.18:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 446,318 - 446,857 (-)	proteasome alpha 2 subunit, putative	
TcCLB.416883.9	TcCLB.416883.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 445,277 - 445,933 (-)	hypothetical protein, conserved (fragment)	
TcCLB.417797.9	TcCLB.417797.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 370,818 - 371,684 (-)	hypothetical protein, conserved	
TcCLB.426397.9	TcCLB.426397.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 215,432 - 216,577 (+)	kinesin, putative (fragment)	
TcCLB.482471.10	TcCLB.482471.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 397,393 - 397,749 (-)	hypothetical protein, conserved	
TcCLB.482471.19	TcCLB.482471.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 394,990 - 395,617 (-)	ATP-dependent RNA helicase SUB2, putative (fragment)	
TcCLB.503441.10	TcCLB.503441.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 493,463 - 496,021 (+)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.503441.19	TcCLB.503441.19:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 490,971 - 492,362 (+)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.503441.5	TcCLB.503441.5:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 497,285 - 498,340 (+)	trans-sialidase, putative (fragment)	
TcCLB.503479.10	TcCLB.503479.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 325,741 - 326,319 (-)	hypothetical protein, conserved	
TcCLB.503479.20	TcCLB.503479.20:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 323,942 - 324,535 (-)	hypothetical protein, conserved (pseudogene)	
TcCLB.503479.30	TcCLB.503479.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 322,033 - 322,815 (-)	adenylate kinase 1	
TcCLB.503479.40	TcCLB.503479.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 317,594 - 321,244 (-)	Flagellum attachment zone protein 6	
TcCLB.503479.49	TcCLB.503479.49:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 314,527 - 314,805 (-)	U6 snRNA-associated Sm-like protein LSm7p	
TcCLB.503479.60	TcCLB.503479.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 312,404 - 314,020 (-)	surface protease GP63, putative	
TcCLB.503479.70	TcCLB.503479.70:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 305,778 - 309,593 (-)	hook complex protein, conserved	
TcCLB.504133.15	TcCLB.504133.15:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 127,383 - 128,969 (+)	hypothetical protein, conserved (fragment)	
TcCLB.504133.30	TcCLB.504133.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 123,661 - 126,429 (+)	tyrosine protein kinase, putative	
TcCLB.504133.45	TcCLB.504133.45:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 117,027 - 117,404 (+)	hypothetical protein, conserved	
TcCLB.504181.10	TcCLB.504181.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 221,978 - 222,547 (+)	60S ribosomal protein L9, putative	
TcCLB.504181.20	TcCLB.504181.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 222,882 - 223,313 (+)	40S ribosomal protein S23, putative	
TcCLB.504181.30	TcCLB.504181.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 223,677 - 224,108 (+)	40S ribosomal protein S23, putative	
TcCLB.504181.40	TcCLB.504181.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 224,812 - 225,717 (+)	cdc2-related kinase 1, putative	
TcCLB.504181.50	TcCLB.504181.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 226,715 - 227,329 (+)	T-complex protein 1, delta subunit, putative	
TcCLB.504229.100	TcCLB.504229.100:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 465,892 - 468,090 (+)	trans-sialidase (pseudogene), putative	
TcCLB.504229.110	TcCLB.504229.110:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 463,538 - 465,154 (-)	amino acid permease 24, putative	
TcCLB.504229.20	TcCLB.504229.20:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 485,064 - 487,964 (+)	glycine dehydrogenase [decarboxylating] (pseudogene), putative	
TcCLB.504229.30	TcCLB.504229.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 483,871 - 484,755 (+)	protein kinase, putative	
TcCLB.504229.37	TcCLB.504229.37:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 483,391 - 483,612 (+)	hypothetical protein	
TcCLB.504229.4	TcCLB.504229.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 489,493 - 490,870 (+)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.504229.44	TcCLB.504229.44:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 480,924 - 481,823 (+)	hypothetical protein, conserved (pseudogene)	
TcCLB.504229.50	TcCLB.504229.50:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 475,904 - 478,021 (+)	trans-sialidase (pseudogene), putative	
TcCLB.504229.70	TcCLB.504229.70:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 470,518 - 472,191 (+)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.506457.10	TcCLB.506457.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 143,511 - 144,938 (+)	metallo-peptidase, Clan MG, Family M24	
TcCLB.506457.110	TcCLB.506457.110:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 163,311 - 165,272 (+)	hypothetical protein, conserved	
TcCLB.506457.120	TcCLB.506457.120:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 165,736 - 167,913 (+)	hypothetical protein, conserved	
TcCLB.506457.130	TcCLB.506457.130:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 168,365 - 171,127 (+)	hypothetical protein, conserved	
TcCLB.506457.140	TcCLB.506457.140:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 171,447 - 172,697 (+)	hypothetical protein, conserved	
TcCLB.506457.149	TcCLB.506457.149:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr10-S: 173,141 - 174,244 (+)	hypothetical protein, conserved (fragment)	
