[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.398345.10	TcCLB.398345.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 517,675 - 518,916 (+)	hypothetical protein, conserved	
TcCLB.418405.10	TcCLB.418405.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,564,452 - 1,564,652 (-)	Mucin-associated surface protein (MASP) (fragment)	
TcCLB.418405.20	TcCLB.418405.20:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,565,111 - 1,565,614 (-)	mucin TcMUCII (pseudogene), putative	
TcCLB.418405.30	TcCLB.418405.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,567,397 - 1,568,164 (-)	trans-sialidase, putative	
TcCLB.424195.5	TcCLB.424195.5:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 157,157 - 157,468 (-)	hypothetical protein, conserved	
TcCLB.424195.9	TcCLB.424195.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 155,600 - 156,203 (-)	RNA-binding protein 4	
TcCLB.430061.9	TcCLB.430061.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,836,598 - 1,837,760 (-)	hypothetical protein, conserved	
TcCLB.437545.10	TcCLB.437545.10:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,808,714 - 1,809,616 (-)	3-oxo-5-alpha-steroid 4-dehydrogenase, putative	
TcCLB.453917.9	TcCLB.453917.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 519,769 - 520,852 (+)	hypothetical protein, conserved	
TcCLB.455171.9	TcCLB.455171.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,724,574 - 1,725,805 (+)	trans-sialidase, putative	
TcCLB.460061.10	TcCLB.460061.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,723,267 - 1,723,878 (-)	hypothetical protein (fragment)	
TcCLB.460061.20	TcCLB.460061.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr40-S: 1,724,123 - 1,724,470 (+)	trans-sialidase, putative (fragment)	
