[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.404711.10	TcCLB.404711.10:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 67,145 - 69,937 (-)	trans-sialidase (pseudogene), putative	
TcCLB.404843.10	TcCLB.404843.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 262,033 - 263,259 (-)	hypothetical protein, conserved	
TcCLB.404843.20	TcCLB.404843.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 260,804 - 261,640 (-)	hypothetical protein, conserved	
TcCLB.414517.9	TcCLB.414517.9:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 270,418 - 271,534 (-)	hypothetical protein, conserved (fragment)	
TcCLB.463155.10	TcCLB.463155.10:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 73,355 - 74,182 (-)	retrotransposon hot spot protein (RHS, pseudogene), putative	
TcCLB.463155.20	TcCLB.463155.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 74,987 - 77,950 (-)	retrotransposon hot spot (RHS) protein, putative	
TcCLB.463155.40	TcCLB.463155.40:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 79,479 - 82,052 (-)	glycine dehydrogenase [decarboxylating] (pseudogene), putative	
TcCLB.503529.10	TcCLB.503529.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 271,637 - 271,813 (-)	hypothetical protein, conserved (fragment)	
TcCLB.503529.20	TcCLB.503529.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 273,522 - 275,105 (-)	hypothetical protein, conserved	
TcCLB.503529.30	TcCLB.503529.30:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 276,700 - 278,277 (-)	hypothetical protein, conserved	
TcCLB.503531.10	TcCLB.503531.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 281,003 - 281,689 (-)	hypothetical protein, conserved	
TcCLB.503531.20	TcCLB.503531.20:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 282,474 - 284,192 (-)	hypothetical protein, conserved	
TcCLB.503531.30	TcCLB.503531.30:pseudogenic_transcript	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 284,629 - 285,756 (-)	COP9 signalosome complex subunit 5, putative (pseudogene)	
TcCLB.503531.40	TcCLB.503531.40:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 286,303 - 286,905 (-)	hypothetical protein, conserved	
TcCLB.503531.49	TcCLB.503531.49:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 289,022 - 289,683 (+)	structural maintenance of chromosome 3, putative	
TcCLB.503619.10	TcCLB.503619.10:mRNA	T. cruzi CL Brener Esmeraldo-like	TcChr21-S: 263,924 - 265,237 (-)	meiotic recombination protein SPO11, putative	
