[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.405179.10	TcCLB.405179.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 212,181 - 213,239 (-)	dynein heavy chain, putative (fragment)	
TcCLB.409117.10	TcCLB.409117.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 133,210 - 133,587 (-)	hypothetical protein, conserved	
TcCLB.409117.20	TcCLB.409117.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 132,277 - 132,711 (-)	40S ribosomal protein S14, putative	
TcCLB.418069.10	TcCLB.418069.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 309,141 - 309,560 (+)	heat shock protein 70 (hsp70), putative (fragment)	
TcCLB.433273.10	TcCLB.433273.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 209,021 - 210,286 (-)	dynein heavy chain, putative (fragment)	
TcCLB.456097.10	TcCLB.456097.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 508,331 - 508,993 (-)	hypothetical protein	
TcCLB.456097.30	TcCLB.456097.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 501,064 - 502,125 (-)	glycerophosphoryl diester phosphodiesterase, putative	
TcCLB.462617.10	TcCLB.462617.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 210,390 - 212,078 (-)	dynein heavy chain (pseudogene), putative	
TcCLB.462761.10	TcCLB.462761.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 136,351 - 137,682 (-)	surface protease GP63, putative	
TcCLB.462761.16	TcCLB.462761.16:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 135,638 - 135,871 (-)	hypothetical protein, conserved (fragment)	
TcCLB.462761.4	TcCLB.462761.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 138,087 - 139,052 (-)	hypothetical protein, conserved	
TcCLB.463673.9	TcCLB.463673.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 471,151 - 472,448 (-)	hypothetical protein, conserved	
TcCLB.466879.10	TcCLB.466879.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 456,519 - 456,587 (-)	hypothetical protein, conserved	
TcCLB.503753.10	TcCLB.503753.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 310,817 - 312,421 (+)	hypothetical protein, conserved	
TcCLB.503753.20	TcCLB.503753.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 312,785 - 314,047 (+)	hypothetical protein, conserved	
TcCLB.503753.29	TcCLB.503753.29:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr30-S: 314,918 - 315,665 (+)	NADPH--cytochrome P450 reductase, putative	
