[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.410943.10	TcCLB.410943.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 752,913 - 753,416 (-)	hypothetical protein, conserved	
TcCLB.442297.10	TcCLB.442297.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 721,123 - 721,455 (-)	ARP2/3 complex 16kDa subunit, putative	
TcCLB.466529.9	TcCLB.466529.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 781,566 - 782,464 (-)	hypothetical protein, conserved	
TcCLB.475029.10	TcCLB.475029.10:tRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 781,075 - 781,147 (+)	tRNA-Arg:anticodon CCT	
TcCLB.475029.20	TcCLB.475029.20:tRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 780,936 - 781,007 (+)	tRNA-Lys:anticodon TTT	
TcCLB.475029.30	TcCLB.475029.30:tRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 780,801 - 780,873 (+)	tRNA-Arg:anticodon TCT	
TcCLB.475029.40	TcCLB.475029.40:tRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 780,641 - 780,712 (-)	tRNA-Ala:anticodon TGC	
TcCLB.475029.50	TcCLB.475029.50:tRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 780,525 - 780,597 (+)	tRNA-Asn:anticodon GTT	
TcCLB.480785.10	TcCLB.480785.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 518,611 - 519,969 (+)	serine/threonine kinase, putative	
TcCLB.484299.10	TcCLB.484299.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 712,063 - 712,632 (-)	trypanothione reductase, putative	
TcCLB.484299.4	TcCLB.484299.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 710,932 - 711,448 (-)	ATP-dependent DEAD/H RNA helicase, putative	
TcCLB.503419.10	TcCLB.503419.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 765,369 - 766,322 (-)	hypothetical protein	
TcCLB.503419.20	TcCLB.503419.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 766,721 - 768,547 (-)	adenosine deaminase-like protein, putative	
TcCLB.503419.30	TcCLB.503419.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 769,492 - 770,829 (-)	thiol-dependent reductase 1, putative	
TcCLB.503419.40	TcCLB.503419.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 771,146 - 772,150 (-)	hypothetical protein, conserved	
TcCLB.503419.50	TcCLB.503419.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 772,716 - 773,765 (-)	MRB1-associated protein, putative	
TcCLB.503419.54	TcCLB.503419.54:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 774,099 - 774,839 (-)	hypothetical protein, conserved	
TcCLB.503419.60	TcCLB.503419.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 775,596 - 777,404 (-)	Enriched in surface-labeled proteome protein 15	
TcCLB.503425.10	TcCLB.503425.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 719,256 - 720,257 (-)	hypothetical protein, conserved	
TcCLB.503425.20	TcCLB.503425.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 718,629 - 719,012 (-)	monothiol glutaredoxin, putative	
TcCLB.503425.29	TcCLB.503425.29:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 716,971 - 718,310 (-)	DNA replication licensing factor MCM8, putative	
TcCLB.503425.5	TcCLB.503425.5:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 720,639 - 720,962 (-)	mitochondrial carrier protein, putative	
TcCLB.503489.10	TcCLB.503489.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 748,863 - 751,031 (-)	metallo-peptidase, Clan MC, Family M14, putative	
TcCLB.503489.20	TcCLB.503489.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 746,845 - 748,749 (-)	hypothetical protein, conserved	
TcCLB.503489.24	TcCLB.503489.24:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 745,646 - 746,545 (-)	hypothetical protein, conserved	
TcCLB.503489.30	TcCLB.503489.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 743,797 - 744,903 (-)	hypothetical protein, conserved	
TcCLB.503525.10	TcCLB.503525.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 425,977 - 426,540 (+)	hypothetical protein, conserved	
TcCLB.503525.20	TcCLB.503525.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 423,779 - 425,587 (+)	Cyclin 12, L-type	
TcCLB.503525.30	TcCLB.503525.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 422,368 - 423,360 (+)	hypothetical protein, conserved	
TcCLB.503525.4	TcCLB.503525.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 426,799 - 428,229 (+)	hypothetical protein, conserved	
TcCLB.503525.40	TcCLB.503525.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 420,018 - 421,928 (+)	FAD dependent oxidoreductase, putative	
TcCLB.503525.50	TcCLB.503525.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 419,059 - 419,670 (+)	RNA helicase, putative	
TcCLB.503535.9	TcCLB.503535.9:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 364,843 - 368,900 (+)	hypothetical protein, conserved	
TcCLB.503637.10	TcCLB.503637.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,278,484 - 1,279,449 (+)	hypothetical protein, conserved	
TcCLB.503637.20	TcCLB.503637.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,279,756 - 1,283,241 (+)	hypothetical protein, conserved	
TcCLB.503637.30	TcCLB.503637.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,284,267 - 1,286,801 (+)	serine peptidase, Clan SC, Family S9B	
TcCLB.503637.40	TcCLB.503637.40:snoRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,287,089 - 1,287,161 (+)	C/D small nucleolar RNA (snoRNA), TB10C1C4	
TcCLB.503637.50	TcCLB.503637.50:snoRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,287,253 - 1,287,309 (+)	H/ACA snoRNA, TC10C1H3	
TcCLB.503637.60	TcCLB.503637.60:snoRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,287,333 - 1,287,422 (+)	C/D small nucleolar RNA (snoRNA), TB10C1C1	
TcCLB.503639.10	TcCLB.503639.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,319,214 - 1,319,891 (+)	inositol-3-phosphate synthase, putative	
TcCLB.503639.20	TcCLB.503639.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,321,470 - 1,322,498 (+)	hypothetical protein, conserved	
TcCLB.503639.30	TcCLB.503639.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,322,884 - 1,325,157 (+)	hypothetical protein, conserved	
TcCLB.503639.40	TcCLB.503639.40:snRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,326,005 - 1,326,144 (+)	small nuclear RNA (snRNA) U2	
TcCLB.503747.10	TcCLB.503747.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,265,318 - 1,265,965 (+)	glutamine aminotransferase, putative (fragment)	
TcCLB.503747.20	TcCLB.503747.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,267,265 - 1,267,639 (+)	hypothetical protein	
TcCLB.503747.30	TcCLB.503747.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,268,099 - 1,268,503 (+)	hypothetical protein	
TcCLB.503747.40	TcCLB.503747.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr37-S: 1,269,292 - 1,271,220 (+)	hypothetical protein, conserved	
