[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	[Product Description]	
TcCLB.405165.10	TcCLB.405165.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 465,802 - 466,401 (+)	hypothetical protein, conserved	
TcCLB.405165.19	TcCLB.405165.19:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 466,833 - 467,642 (+)	hypothetical protein, conserved (fragment)	
TcCLB.416503.10	TcCLB.416503.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 91,468 - 94,147 (-)	trans-sialidase (pseudogene), putative	
TcCLB.420989.10	TcCLB.420989.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 333,819 - 334,442 (-)	protein phosphatase 2C, putative	
TcCLB.422843.10	TcCLB.422843.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 112,868 - 114,439 (-)	trans-sialidase (pseudogene), putative	
TcCLB.427247.10	TcCLB.427247.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 315,516 - 317,264 (-)	serine/threonine protein kinase, putative	
TcCLB.427247.4	TcCLB.427247.4:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 313,421 - 314,383 (-)	hypothetical protein, conserved (fragment)	
TcCLB.430737.10	TcCLB.430737.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 402,131 - 402,250 (+)	proline racemase	
TcCLB.430737.20	TcCLB.430737.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 403,068 - 403,514 (+)	hypothetical protein, conserved (fragment)	
TcCLB.466965.10	TcCLB.466965.10:pseudogenic_transcript	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 94,270 - 95,950 (-)	trans-sialidase (pseudogene), putative	
TcCLB.480975.10	TcCLB.480975.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr11-S: 382,812 - 383,630 (+)	hypothetical protein, conserved	
